,0
clientnum,int64
churn,int64
customer_age,int64
gender,object
dependent_count,int64
education_level,object
marital_status,object
income_category,object
card_category,object
months_on_book,int64
total_relationship_count,int64
months_inactive_12_mon,int64
contacts_count_12_mon,int64
credit_limit,float64
total_revolving_bal,int64
avg_open_to_buy,float64
total_amt_chng_q4_q1,float64
total_trans_amt,int64
total_trans_ct,int64
total_ct_chng_q4_q1,float64
avg_utilization_ratio,float64
naive_bayes_classifier_attrition_flag_card_category_contacts_count_12_mon_dependent_count_education_level_months_inactive_12_mon_1,float64
naive_bayes_classifier_attrition_flag_card_category_contacts_count_12_mon_dependent_count_education_level_months_inactive_12_mon_2,float64
