,0
clientnum,0
churn,0
customer_age,0
gender,0
dependent_count,0
education_level,0
marital_status,0
income_category,0
card_category,0
months_on_book,0
total_relationship_count,0
months_inactive_12_mon,0
contacts_count_12_mon,0
credit_limit,0
total_revolving_bal,0
avg_open_to_buy,0
total_amt_chng_q4_q1,0
total_trans_amt,0
total_trans_ct,0
total_ct_chng_q4_q1,0
avg_utilization_ratio,0
naive_bayes_classifier_attrition_flag_card_category_contacts_count_12_mon_dependent_count_education_level_months_inactive_12_mon_1,0
naive_bayes_classifier_attrition_flag_card_category_contacts_count_12_mon_dependent_count_education_level_months_inactive_12_mon_2,0
