,count,unique,top,freq,mean,std,min,25%,50%,75%,max
clientnum,10127.0,,,,739177606.3336625,36903783.45023115,708082083.0,713036770.5,717926358.0,773143533.0,828343083.0
churn,10127.0,,,,0.1606596227905599,0.3672348368711599,0.0,0.0,0.0,0.0,1.0
customer_age,10127.0,,,,46.32596030413745,8.016814032549028,26.0,41.0,46.0,52.0,73.0
gender,10127,2,F,5358,,,,,,,
dependent_count,10127.0,,,,2.3462032191172115,1.2989083489037903,0.0,1.0,2.0,3.0,5.0
education_level,10127,7,Graduate,3128,,,,,,,
marital_status,10127,4,Married,4687,,,,,,,
income_category,10127,6,Less than $40K,3561,,,,,,,
card_category,10127,4,Blue,9436,,,,,,,
months_on_book,10127.0,,,,35.928409203120374,7.986416330872062,13.0,31.0,36.0,40.0,56.0
total_relationship_count,10127.0,,,,3.8125802310654686,1.5544078653388251,1.0,3.0,4.0,5.0,6.0
months_inactive_12_mon,10127.0,,,,2.3411671768539546,1.0106223994182812,0.0,2.0,2.0,3.0,6.0
contacts_count_12_mon,10127.0,,,,2.4553174681544387,1.106225142635924,0.0,2.0,2.0,3.0,6.0
credit_limit,10127.0,,,,8631.953698034955,9088.776650223155,1438.3,2555.0,4549.0,11067.5,34516.0
total_revolving_bal,10127.0,,,,1162.8140614199665,814.9873352357522,0.0,359.0,1276.0,1784.0,2517.0
avg_open_to_buy,10127.0,,,,7469.139636614989,9090.685323679103,3.0,1324.5,3474.0,9859.0,34516.0
total_amt_chng_q4_q1,10127.0,,,,0.7599406536980349,0.21920676923070273,0.0,0.631,0.736,0.859,3.397
total_trans_amt,10127.0,,,,4404.086303939963,3397.129253557087,510.0,2155.5,3899.0,4741.0,18484.0
total_trans_ct,10127.0,,,,64.85869457884863,23.472570449232997,10.0,45.0,67.0,81.0,139.0
total_ct_chng_q4_q1,10127.0,,,,0.7122223758269972,0.2380860913329413,0.0,0.582,0.702,0.818,3.714
avg_utilization_ratio,10127.0,,,,0.2748935518909845,0.27569146925238774,0.0,0.023,0.176,0.503,0.999
naive_bayes_classifier_attrition_flag_card_category_contacts_count_12_mon_dependent_count_education_level_months_inactive_12_mon_1,10127.0,,,,0.1599974639787795,0.3653010123804694,7.6642e-06,9.8983e-05,0.00018146,0.0003373,0.99958
naive_bayes_classifier_attrition_flag_card_category_contacts_count_12_mon_dependent_count_education_level_months_inactive_12_mon_2,10127.0,,,,0.8400025708403278,0.3653010371101796,0.00041998,0.99966,0.99982,0.9999,0.99999
