customerid,count
7590-VHVEG,1
3791-LGQCY,1
6008-NAIXK,1
5956-YHHRX,1
5365-LLFYV,1
5855-EIBDE,1
8166-ZZTFS,1
0129-KPTWJ,1
9128-CPXKI,1
9509-MPYOD,1
0594-UFTUL,1
0463-TXOAK,1
0265-PSUAE,1
7036-ZZKBD,1
1928-BXYIV,1
2832-SCUCO,1
2988-GBIVW,1
3647-GMGDH,1
8024-XNAFQ,1
0345-XMMUG,1
6305-YLBMM,1
9360-OMDZZ,1
0504-HHAPI,1
9965-YOKZB,1
1986-PHGZF,1
8218-FFJDS,1
2956-GGUCQ,1
5760-FXFVO,1
3049-SOLAY,1
0362-ZBZWJ,1
7813-ZGGAW,1
6522-OIQSX,1
6119-SPUDB,1
3154-HMWUU,1
2192-CKRLV,1
1541-ETJZO,1
5073-RZGBK,1
4274-OWWYO,1
7581-EBBOU,1
4211-MMAZN,1
8979-CAMGB,1
3556-BVQGL,1
6595-COKXZ,1
9356-AXGMP,1
5176-OLSKT,1
7508-DQAKK,1
0016-QLJIS,1
7544-ZVIKX,1
7550-WIQVA,1
5871-DGTXZ,1
7816-VGHTO,1
4007-NHVHI,1
5181-OABFK,1
0961-ZWLVI,1
3006-XIMLN,1
8443-WVPSS,1
3011-WQKSZ,1
1269-FOYWN,1
7396-VJUZB,1
5032-MIYKT,1
5219-YIPTK,1
5701-ZIKJE,1
1230-QAJDW,1
5458-CQJTA,1
9895-VFOXH,1
1853-UDXBW,1
7402-EYFXX,1
7817-BOQPW,1
9470-YFUYI,1
9068-FHQHD,1
7486-KSRVI,1
9426-SXNHE,1
1820-DJFPH,1
4760-XOHVN,1
2462-XIIJB,1
1852-XEMDW,1
6112-KTHFQ,1
1202-KKGFU,1
3680-CTHUH,1
0929-PECLO,1
4480-QQRHC,1
0325-XBFAC,1
9717-QEBGU,1
5172-RKOCB,1
6509-TSGWN,1
3540-RZJYU,1
0980-FEXWF,1
6402-ZFPPI,1
8082-GHXOP,1
3393-FMZPV,1
8741-LQOBK,1
8701-DGLVH,1
1791-PQHBB,1
5537-UXXVS,1
8780-RSYYU,1
3884-UEBXB,1
7571-YXDAD,1
0722-TROQR,1
4018-KJYUY,1
9415-ZNBSX,1
0883-EIBTI,1
6616-AALSR,1
8455-HIRAQ,1
6743-HHQPF,1
9800-ONTFE,1
5985-TBABQ,1
4530-NDRKU,1
2091-MJTFX,1
3178-CIFOT,1
8748-HFWBO,1
1052-QJIBV,1
1319-YLZJG,1
9972-NKTFD,1
8631-WUXGY,1
5174-RNGBH,1
5175-AOBHI,1
1112-CUNAO,1
7814-LEEVE,1
8144-DGHXP,1
9695-IDRZR,1
6729-FZWSY,1
2207-RYYRL,1
5734-EJKXG,1
3717-LNXKW,1
0988-AADSA,1
9102-OXKFY,1
9300-AGZNL,1
4182-BGSIQ,1
4948-WBBKL,1
3892-NXAZG,1
3807-BPOMJ,1
6532-YLWSI,1
0366-NQSHS,1
2284-VFLKH,1
7067-KSAZT,1
7808-DVWEP,1
5216-WASFJ,1
7270-BDIOA,1
9565-JSNFM,1
5906-DVAPM,1
6654-QGBZZ,1
5730-RIITO,1
3070-DVEYC,1
1360-XFJMR,1
5134-IKDAY,1
0584-BJQGZ,1
2360-RDGRO,1
6857-TKDJV,1
8510-BBWMU,1
6478-HRRCZ,1
4654-GGUII,1
0536-ESJEP,1
1600-DILPE,1
8350-NYMVI,1
9560-ARGQJ,1
3389-YGYAI,1
0921-OHLVP,1
3339-EAQNV,1
9732-KPKBW,1
2664-XJZNO,1
9200-NLNPD,1
5641-DMBFJ,1
0607-DAAHE,1
8348-JLBUG,1
0511-JTEOY,1
5542-DHSXL,1
4106-HADHQ,1
8884-FEEWR,1
3646-ITDGM,1
1582-RAFML,1
9518-IMLHK,1
8849-AYPTR,1
2072-ZVJJX,1
5729-KLZAR,1
1682-VCOIO,1
8785-EPNCG,1
0373-AIVNJ,1
6633-MPWBS,1
3125-RAHBV,1
0637-KVDLV,1
6749-UTDVX,1
6116-RFVHN,1
6139-ZZRBQ,1
6681-ZSEXG,1
8544-JNBOX,1
6583-KQJLK,1
2778-OCLGR,1
3088-LHEFH,1
2369-UAPKZ,1
9298-WGMRW,1
3050-RLLXC,1
0723-FDLAY,1
8740-CRYFY,1
3569-VLDHH,1
8224-KDLKN,1
7594-LZNWR,1
8854-CCVSQ,1
1622-HSHSF,1
8760-ZRHKE,1
6175-IRFIT,1
9814-AOUDH,1
5895-QSXOD,1
0480-BIXDE,1
7608-RGIRO,1
7501-VTYLJ,1
0018-NYROU,1
5480-TBGPH,1
7402-PWYJJ,1
8627-EHGIP,1
5795-BKOYE,1
1678-FYZOW,1
7762-ONLJY,1
2878-DHMIN,1
3996-ZNWYK,1
1064-FBXNK,1
1043-UXOVO,1
8727-XDPUD,1
2962-XPMCQ,1
4001-TSBTV,1
8755-IWJHN,1
8705-DWKTI,1
0311-QYWSS,1
2479-BRAMR,1
6711-FLDFB,1
8644-XYTSV,1
7908-QCBCA,1
5075-JSDKI,1
0988-JRWWP,1
6937-GCDGQ,1
7434-SHXLS,1
4693-VWVBO,1
1139-WUOAH,1
2665-NPTGL,1
9541-ZPSEA,1
8242-JSVBO,1
7611-YKYTC,1
6893-ODYYE,1
7083-YNSKY,1
0667-NSRGI,1
4806-KEXQR,1
3606-SBKRY,1
3018-TFTSU,1
4603-JANFB,1
6087-MVHJH,1
0082-OQIQY,1
0365-GXEZS,1
3178-FESZO,1
3873-WOSBC,1
7465-ZZRVX,1
7975-JMZNT,1
7251-XFOIL,1
2013-SGDXK,1
3530-VWVGU,1
7797-EJMDP,1
5329-KRDTM,1
6917-FIJHC,1
8327-WKMIE,1
9658-WYUFB,1
1264-BYWMS,1
5006-MXVRN,1
2830-LEWOA,1
6178-KFNHS,1
0967-BMLBD,1
0575-CUQOV,1
9489-JMTTN,1
4702-IOQDC,1
0225-ZORZP,1
8606-OEGQZ,1
3120-FAZKD,1
7853-WNZSY,1
0442-ZXKVS,1
8259-DZLIZ,1
3714-JTVOV,1
4116-IQRFR,1
2037-SGXHH,1
1619-YWUBB,1
3633-CDBUW,1
6217-TOWGS,1
5278-PNYOX,1
8652-YHIYU,1
3059-NGMXB,1
4729-XKASR,1
5951-AOFIH,1
6874-SGLHU,1
4636-JGAAI,1
1544-JJMYL,1
1045-LTCYT,1
0378-XSZPU,1
0515-YPMCW,1
0420-TXVSG,1
8280-MQRQN,1
5372-FBKBN,1
1792-UXAFY,1
8042-RNLKO,1
3621-CHYVB,1
0848-ZGQIJ,1
5227-JSCFE,1
2824-DXNKN,1
1850-AKQEP,1
3714-XPXBW,1
8417-FMLZI,1
1307-ATKGB,1
5449-FIBXJ,1
3486-HOOGQ,1
5061-PBXFW,1
8630-FJLIB,1
8410-BGQXN,1
1455-UGQVH,1
6695-AMZUF,1
1608-GMEWB,1
4925-LMHOK,1
2001-EWBQU,1
6543-XRMYR,1
7821-DPRQE,1
6161-UUUTA,1
3134-DSHVC,1
0137-UDEUO,1
2672-OJQZP,1
9837-BMCLM,1
4825-FUREZ,1
3397-AVTKU,1
9950-MTGYX,1
2263-SFSQZ,1
3716-LRGXK,1
3639-XJHKQ,1
5453-AXEPF,1
0577-WHMEV,1
4749-OJKQU,1
3891-NLXJB,1
6368-NWMCE,1
0707-HOVVN,1
8513-OLYGY,1
9084-OAYKL,1
1897-RCFUM,1
8003-EWNDZ,1
4884-TVUQF,1
1494-EJZDW,1
2105-PHWON,1
5201-USSQZ,1
7569-NMZYQ,1
1069-XAIEM,1
7524-VRLPL,1
2400-XIWIO,1
6122-LJADA,1
0825-CPPQH,1
2697-NQBPF,1
5650-YLIBA,1
7766-CLTIC,1
0471-ARVMX,1
3181-MIZBN,1
8746-OQQRW,1
8999-XXGNS,1
6855-VLGOS,1
6377-WHAOX,1
