,count,unique,top,freq,mean,std,min,25%,50%,75%,max
customerid,7043,7043,7590-VHVEG,1,,,,,,,
gender,7043,2,Male,3555,,,,,,,
seniorcitizen,7043.0,,,,0.1621468124378816,0.3686116056100131,0.0,0.0,0.0,0.0,1.0
partner,7043,2,No,3641,,,,,,,
dependents,7043,2,No,4933,,,,,,,
tenure,7043.0,,,,32.37114865824223,24.55948102309446,0.0,9.0,29.0,55.0,72.0
phoneservice,7043,2,Yes,6361,,,,,,,
multiplelines,7043,3,No,3390,,,,,,,
internetservice,7043,3,Fiber optic,3096,,,,,,,
onlinesecurity,7043,3,No,3498,,,,,,,
onlinebackup,7043,3,No,3088,,,,,,,
deviceprotection,7043,3,No,3095,,,,,,,
techsupport,7043,3,No,3473,,,,,,,
streamingtv,7043,3,No,2810,,,,,,,
streamingmovies,7043,3,No,2785,,,,,,,
contract,7043,3,Month-to-month,3875,,,,,,,
paperlessbilling,7043,2,Yes,4171,,,,,,,
paymentmethod,7043,4,Electronic check,2365,,,,,,,
monthlycharges,7043.0,,,,64.76169246059918,30.090047097678493,18.25,35.5,70.35,89.85,118.75
totalcharges,7043,6531, ,11,,,,,,,
churn,7043.0,,,,0.2653698707936959,0.441561305121947,0.0,0.0,0.0,1.0,1.0
