totalcharges,count
 ,11
20.2,11
19.75,9
20.05,8
19.9,8
19.65,8
45.3,7
19.55,7
20.15,6
20.25,6
19.45,6
20.3,5
20.45,5
19.85,4
69.9,4
20.4,4
70.6,4
19.2,4
69.65,4
44,4
44.4,4
20.5,4
49.9,4
74.7,4
19.3,4
19.95,4
19.5,4
75.3,4
50.15,4
20.35,4
69.6,4
19.4,4
69.95,4
19.25,3
70.45,3
1284.2,3
69.25,3
74.3,3
20.9,3
220.45,3
20.55,3
69.1,3
20.1,3
305.55,3
50.6,3
74.6,3
20,3
45.85,3
44.75,3
70.15,3
75.35,3
19.1,3
74.9,3
86.05,3
79.55,3
74.35,3
35.9,3
24.4,3
45.7,3
2317.1,3
383.65,3
50.75,3
25.25,3
55.7,3
45.1,3
84.5,3
85,3
50.45,3
80.55,3
70.3,3
24.8,3
470.2,3
69.55,3
70.1,3
85.5,3
1714.95,2
654.85,2
372.45,2
260.9,2
740.3,2
74.2,2
2104.55,2
816.8,2
79.05,2
238.5,2
1305.95,2
307.4,2
25.1,2
57.4,2
5731.85,2
1873.7,2
70.25,2
84.6,2
1443.65,2
137.6,2
46.3,2
84.2,2
223.15,2
3187.65,2
253.8,2
330.8,2
4370.25,2
5714.2,2
1463.45,2
294.45,2
505.95,2
135.75,2
1077.5,2
3496.3,2
1782.4,2
131.05,2
41.85,2
529.5,2
50.8,2
71,2
669.45,2
33.6,2
147.15,2
20.95,2
128.6,2
683.25,2
24.7,2
48.6,2
989.05,2
70,2
44.55,2
134.05,2
355.1,2
398.55,2
487.05,2
77.15,2
587.1,2
415.55,2
19.6,2
664.4,2
1468.75,2
1060.2,2
55.25,2
1235.55,2
1025.15,2
592.65,2
43.95,2
2032.3,2
1642.75,2
275.7,2
44.45,2
89.3,2
74.4,2
300.4,2
3645.5,2
161.45,2
93.7,2
214.75,2
256.6,2
151.75,2
25.05,2
854.9,2
90.6,2
1167.8,2
469.65,2
45.05,2
987.95,2
51.25,2
184.1,2
347.65,2
498.1,2
858.6,2
50.1,2
90.05,2
1008.7,2
1672.1,2
348.8,2
515.75,2
1218.25,2
1201.65,2
867.3,2
90.85,2
4017.45,2
3756.45,2
96.85,2
1183.05,2
2640.55,2
1149.65,2
55,2
1058.1,2
69.75,2
118.25,2
18.85,2
467.15,2
511.25,2
1672.35,2
273.25,2
280.85,2
71.35,2
70.85,2
42.9,2
844.45,2
178.7,2
340.85,2
94.4,2
25.7,2
63.75,2
143.65,2
1410.25,2
4528,2
262.05,2
1174.35,2
52,2
835.5,2
75.1,2
1110.05,2
777.3,2
926.25,2
45.75,2
53.55,2
259.8,2
83.75,2
92.75,2
91.7,2
96.8,2
1885.15,2
4858.7,2
193.6,2
246.7,2
246.3,2
202.3,2
167.3,2
245.15,2
19.8,2
49.55,2
2570.2,2
49.95,2
144.55,2
449.75,2
19.7,2
85.1,2
60.65,2
33.7,2
79.35,2
90.55,2
76.35,2
45.6,2
71.65,2
2180.55,2
477.55,2
2497.2,2
4976.15,2
5969.3,2
69.8,2
416.45,2
145.15,2
3729.75,2
229.55,2
434.5,2
69.35,2
2151.6,2
184.4,2
79.6,2
45.8,2
155.35,2
1130.85,2
620.55,2
2440.25,2
5597.65,2
460.25,2
49.65,2
553,2
181.65,2
581.7,2
2661.1,2
729.95,2
202.25,2
69.4,2
45.15,2
522.95,2
69.85,2
79.15,2
727.8,2
402.6,2
20.6,2
1381.8,2
61.05,2
470.6,2
162.45,2
1734.5,2
906.85,2
45.95,2
1706.45,2
3418.2,2
86.6,2
98.5,2
70.05,2
25.15,2
1620.2,2
74.5,2
235.05,2
190.25,2
268.45,2
144.15,2
340.35,2
44.9,2
25.2,2
1046.5,2
267.35,2
123.65,2
316.9,2
3132.75,2
382.2,2
601.6,2
1043.3,2
69.2,2
44.15,2
85.45,2
75.45,2
1782,2
1161.75,2
20.75,2
74.45,2
2651.2,2
99.75,2
482.8,2
494.05,2
849.9,2
2254.2,2
475.1,2
71.1,2
5682.25,2
503.6,2
264.8,2
78.65,2
45.4,2
3297,2
576.65,2
93.55,2
91.1,2
20.65,2
3533.6,2
151.3,2
564.35,2
1139.2,2
196.9,2
49.8,2
69.5,2
196.75,2
130.5,2
2404.15,2
1493.2,2
288.05,2
7334.05,2
45.65,2
50.55,2
168.15,2
493.4,2
2560.1,2
163.7,2
343.45,2
113.5,2
82.85,2
318.6,2
607.7,1
1738.9,1
481.1,1
2275.1,1
1772.25,1
5013,1
5290.45,1
494.95,1
302.75,1
2467.75,1
5957.9,1
2966.95,1
5431.4,1
6004.85,1
5219.65,1
78.95,1
1728.2,1
6058.95,1
2964.05,1
2156.25,1
61.15,1
790.15,1
1051.9,1
217.5,1
60.1,1
964.9,1
357.7,1
5442.05,1
929.3,1
1198.8,1
1755.35,1
7748.75,1
6747.35,1
541.9,1
8312.75,1
1914.9,1
5655.45,1
6470.1,1
2019.8,1
4620.4,1
5688.05,1
3704.15,1
3772.5,1
1522.7,1
1334.5,1
3182.95,1
959.9,1
252,1
1397.3,1
700.45,1
5265.1,1
971.3,1
2271.85,1
5174.35,1
245.2,1
373,1
216.9,1
754,1
105.6,1
2322.85,1
2877.95,1
3414.65,1
1198.05,1
3389.25,1
4428.6,1
3067.2,1
6688.1,1
1521.2,1
7262,1
4224.7,1
1285.05,1
4042.2,1
4854.3,1
62.05,1
3580.95,1
3346.8,1
452.7,1
193.8,1
147.55,1
