,count,unique,top,freq,mean,std,min,25%,50%,75%,max
state,2666,51,WV,88,,,,,,,
account length,2666.0,,,,100.62040510127532,39.56397365334985,1.0,73.0,100.0,127.0,243.0
area code,2666.0,,,,437.43885971492875,42.52101801942723,408.0,408.0,415.0,510.0,510.0
international plan,2666,2,No,2396,,,,,,,
voice mail plan,2666,2,No,1933,,,,,,,
number vmail messages,2666.0,,,,8.021755438859715,13.612277018291943,0.0,0.0,0.0,19.0,50.0
total day minutes,2666.0,,,,179.48162040510127,54.210350220869834,0.0,143.4,179.95,215.9,350.8
total day calls,2666.0,,,,100.31020255063765,19.988162186059494,0.0,87.0,101.0,114.0,160.0
total day charge,2666.0,,,,30.512404351087774,9.215732907163499,0.0,24.38,30.59,36.7,59.64
total eve minutes,2666.0,,,,200.38615903975995,50.95151511764594,0.0,165.3,200.9,235.1,363.7
total eve calls,2666.0,,,,100.02363090772693,20.161445115318894,0.0,87.0,100.0,114.0,170.0
total eve charge,2666.0,,,,17.0330720180045,4.330864176799866,0.0,14.05,17.08,19.98,30.91
total night minutes,2666.0,,,,201.16894223555886,50.780323368725305,43.7,166.925,201.14999999999998,236.475,395.0
total night calls,2666.0,,,,100.10615153788447,19.418458551101708,33.0,87.0,100.0,113.0,166.0
total night charge,2666.0,,,,9.05268942235559,2.285119512915754,1.97,7.512499999999999,9.05,10.64,17.77
total intl minutes,2666.0,,,,10.23702175543886,2.7883485770512593,0.0,8.5,10.2,12.1,20.0
total intl calls,2666.0,,,,4.467366841710428,2.4561949030129497,0.0,3.0,4.0,6.0,20.0
total intl charge,2666.0,,,,2.7644898724681166,0.7528120531228483,0.0,2.3,2.75,3.27,5.4
customer service calls,2666.0,,,,1.5626406601650413,1.3112357589949095,0.0,1.0,1.0,2.0,9.0
churn,2666.0,,,,0.145536384096024,0.35270697114419514,0.0,0.0,0.0,0.0,1.0
