,0
visitorid,0
ses_rec,0
ses_rec_avg,0
ses_rec_sd,0
ses_rec_cv,0
user_rec,0
ses_n,0
ses_n_r,0
int_n,0
int_n_r,0
tran_n,0
tran_n_r,0
rev_sum,0
rev_sum_r,0
major_spend_r,0
int_cat_n_avg,0
int_itm_n_avg,0
ses_mo_avg,0
ses_mo_sd,0
ses_ho_avg,0
ses_ho_sd,0
ses_wknd_r,0
ses_len_avg,0
time_to_int,0
time_to_tran,0
int_cat1_n,0
int_cat2_n,0
int_cat3_n,0
int_cat4_n,0
int_cat5_n,0
int_cat6_n,0
int_cat7_n,0
int_cat8_n,0
int_cat9_n,0
int_cat10_n,0
int_cat11_n,0
int_cat12_n,0
int_cat13_n,0
int_cat15_n,0
int_cat16_n,0
int_cat17_n,0
int_cat18_n,0
int_cat19_n,0
int_cat20_n,0
int_cat21_n,0
int_cat22_n,0
int_cat23_n,0
int_cat24_n,0
churn,0
