,count,mean,std,min,25%,50%,75%,max
visitorid,49358.0,707298.609688399,407209.8157257087,37.0,353292.0,710091.0,1060354.75,1407573.0
ses_rec,49358.0,15.45484014749382,9.18464461773193,0.0,7.0,16.0,23.0,31.0
ses_rec_avg,49358.0,11.231611237965945,18.162742745464353,0.0,0.0,2.25,14.25,99.0
ses_rec_sd,49358.0,2.711961414159609,6.583917182579802,0.0,0.0,0.0,1.0,47.5
ses_rec_cv,49358.0,-0.020099926468232103,0.917700568514751,-1.0,-1.0,0.0,0.638646375,11.525121
user_rec,49358.0,33.82294663479071,25.23770323181637,0.0,16.0,26.0,46.0,99.0
ses_n,49358.0,3.366445155800478,7.3805733618359595,2.0,2.0,2.0,3.0,475.0
ses_n_r,49358.0,0.17237185950427492,0.3726144754018919,-1.0,0.060606062,0.09090909,0.16666667,18.0
int_n,49358.0,6.716276996636816,38.52888215713503,2.0,2.0,3.0,6.0,5549.0
int_n_r,49358.0,1.7209750587442765,1.4558854256563858,1.0,1.0,1.25,2.0,59.0
tran_n,49358.0,0.11124842983913448,2.798216702179437,0.0,0.0,0.0,0.0,461.0
tran_n_r,49358.0,0.018554254946189067,0.12432925641072252,0.0,0.0,0.0,0.0,5.0
rev_sum,49358.0,11971.144130637384,347566.86310469883,0.0,0.0,0.0,0.0,59717964.0
rev_sum_r,49358.0,1893.0335342272783,19701.20170092529,0.0,0.0,0.0,0.0,1587480.0
major_spend_r,49358.0,0.013361433525487257,0.07431118169087471,0.0,0.0,0.0,0.0,1.0
int_cat_n_avg,49358.0,1.0186349195773734,0.12321824762481373,1.0,1.0,1.0,1.0,9.0
int_itm_n_avg,49358.0,1.430963836608047,1.040906149495926,1.0,1.0,1.0,1.5,56.0
ses_mo_avg,49358.0,7.202337915501033,0.5775376184319319,5.1538463,7.0,7.0,7.8333335,8.0
ses_mo_sd,49358.0,0.3454082615298432,0.5147909620995605,0.0,0.0,0.0,0.70710677,2.1213202
ses_ho_avg,49358.0,13.890773029121116,4.000172344660145,0.0,11.333333,13.8,16.5,23.0
ses_ho_sd,49358.0,3.3656975910126024,3.0064047383051453,0.0,0.70710677,2.7080128,4.9497476,16.263456
ses_wknd_r,49358.0,0.2706595406404838,0.358279810834721,0.0,0.0,0.0,0.5,1.0
ses_len_avg,49358.0,1.7399185681321203,3.520833998892852,0.0,0.0,0.10555556,2.06762825,79.166664
time_to_int,49358.0,0.6518810904935897,1.009803518879553,0.0,0.0,0.073124997,1.0069444,8.666667
time_to_tran,49358.0,-0.07244757643257424,9.405942228832602,-1.0,-1.0,-1.0,-1.0,1233.3334
int_cat1_n,49358.0,0.1376676526601564,2.7745173560006786,0.0,0.0,0.0,0.0,443.0
int_cat2_n,49358.0,0.17160338749544146,1.6839228464159988,0.0,0.0,0.0,0.0,157.0
int_cat3_n,49358.0,0.04102678390534462,0.6619619209227529,0.0,0.0,0.0,0.0,50.0
int_cat4_n,49358.0,0.0006280643462052757,0.037922349948156506,0.0,0.0,0.0,0.0,5.0
int_cat5_n,49358.0,0.06698002350176263,0.6947069490420927,0.0,0.0,0.0,0.0,45.0
int_cat6_n,49358.0,0.01655253454353904,0.31313010156752324,0.0,0.0,0.0,0.0,27.0
int_cat7_n,49358.0,0.009137323230276754,0.17014663311271033,0.0,0.0,0.0,0.0,19.0
int_cat8_n,49358.0,6.0780420600510554e-05,0.010064743368534619,0.0,0.0,0.0,0.0,2.0
int_cat9_n,49358.0,0.00024312168240204221,0.021110968846759927,0.0,0.0,0.0,0.0,3.0
int_cat10_n,49358.0,0.02927590258924592,0.6937749994328769,0.0,0.0,0.0,0.0,86.0
int_cat11_n,49358.0,0.0024919972446209326,0.14478763683251122,0.0,0.0,0.0,0.0,22.0
int_cat12_n,49358.0,0.19763766765266017,2.427342560695653,0.0,0.0,0.0,0.0,358.0
int_cat13_n,49358.0,0.007415211313262288,0.2217614747512316,0.0,0.0,0.0,0.0,32.0
int_cat15_n,49358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
int_cat16_n,49358.0,0.9557923740832287,6.086722476764709,0.0,0.0,0.0,0.0,576.0
int_cat17_n,49358.0,0.7737144941042992,5.003517244947243,0.0,0.0,0.0,0.0,445.0
int_cat18_n,49358.0,0.382977430203817,4.569604455119246,0.0,0.0,0.0,0.0,481.0
int_cat19_n,49358.0,0.7324243283763524,4.977989375850934,0.0,0.0,0.0,0.0,564.0
int_cat20_n,49358.0,0.5033429231330281,3.259193503031955,0.0,0.0,0.0,0.0,317.0
int_cat21_n,49358.0,0.447019733376555,3.873684157017855,0.0,0.0,0.0,0.0,420.0
int_cat22_n,49358.0,2.1025770898334617,16.273213132389387,0.0,0.0,0.0,2.0,2282.0
int_cat23_n,49358.0,0.03812958385672029,0.5936812315442687,0.0,0.0,0.0,0.0,54.0
int_cat24_n,49358.0,0.09957858908383646,1.1351485965891737,0.0,0.0,0.0,0.0,105.0
churn,49358.0,0.885590988289639,0.3183106070185263,0.0,1.0,1.0,1.0,1.0
