,count,mean,std,min,25%,50%,75%,max
id,72274.0,846318.2434623793,489102.16874356807,15.0,422216.5,847784.0,1269562.0,1689744.0
is_tv_subscriber,72274.0,0.8152585992196364,0.3880903239582862,0.0,1.0,1.0,1.0,1.0
is_movie_package_subscriber,72274.0,0.33462932728228684,0.4718639860386069,0.0,0.0,0.0,1.0,1.0
subscription_age,72274.0,2.4500511940670227,2.034989872478024,-0.02,0.93,1.98,3.3,12.8
bill_avg,72274.0,18.94248277388826,13.215386352311867,0.0,13.0,19.0,22.0,406.0
reamining_contract,50702.0,0.7160392094986392,0.6971022671442165,0.0,0.0,0.57,1.31,2.92
service_failure_count,72274.0,0.2742341644298088,0.8166209461172078,0.0,0.0,0.0,0.0,19.0
download_avg,71893.0,43.689911396102545,63.405963016601554,0.0,6.7,27.8,60.5,4415.2
upload_avg,71893.0,4.192075723644861,9.818896361042711,0.0,0.5,2.1,4.8,453.3
download_over_limit,72274.0,0.20761269612862163,0.9971232228794198,0.0,0.0,0.0,0.0,7.0
churn,72274.0,0.5541411849351081,0.49706352777285445,0.0,0.0,1.0,1.0,1.0
