,count,unique,top,freq,mean,std,min,25%,50%,75%,max
state,667,51,AZ,19,,,,,,,
account length,667.0,,,,102.84107946026987,40.81948017302252,1.0,76.0,102.0,128.0,232.0
area code,667.0,,,,436.15742128935534,41.783304688566986,408.0,408.0,415.0,415.0,510.0
international plan,667,2,No,614,,,,,,,
voice mail plan,667,2,No,478,,,,,,,
number vmail messages,667.0,,,,8.407796101949025,13.994479792227358,0.0,0.0,0.0,20.0,51.0
total day minutes,667.0,,,,180.94812593703148,55.508627757238095,25.9,146.25,178.3,220.7,334.3
total day calls,667.0,,,,100.93703148425787,20.396790483935305,30.0,87.5,101.0,115.0,165.0
total day charge,667.0,,,,30.761769115442277,9.436463453602565,4.4,24.86,30.31,37.52,56.83
total eve minutes,667.0,,,,203.35532233883058,49.71926848382941,48.1,171.05,203.7,236.45,361.8
total eve calls,667.0,,,,100.4767616191904,18.948261696761925,37.0,88.0,101.0,113.0,168.0
total eve charge,667.0,,,,17.285262368815594,4.226160133395479,4.09,14.54,17.31,20.095,30.75
total night minutes,667.0,,,,199.68530734632685,49.7599308151923,23.2,167.95,201.6,231.5,367.7
total night calls,667.0,,,,100.11394302848576,20.17250456525386,42.0,86.0,100.0,113.5,175.0
total night charge,667.0,,,,8.985907046476763,2.239428996772818,1.04,7.5600000000000005,9.07,10.42,16.55
total intl minutes,667.0,,,,10.238380809595203,2.807849746177429,0.0,8.6,10.5,12.05,18.3
total intl calls,667.0,,,,4.527736131934033,2.4824419107360822,0.0,3.0,4.0,6.0,18.0
total intl charge,667.0,,,,2.7649475262368814,0.758166819817248,0.0,2.32,2.84,3.255,4.94
customer service calls,667.0,,,,1.5637181409295353,1.3333569699540582,0.0,1.0,1.0,2.0,8.0
churn,667.0,,,,0.1424287856071964,0.3497516608613171,0.0,0.0,0.0,0.0,1.0
